Date,Open,High,Low,Close,Adj Close,Volume
2013-05-01,124.620003,124.800003,124.410004,124.440002,77.272537,2045367
2013-05-02,124.709999,125.099998,124.620003,125.099998,77.682381,1390667
2013-05-03,125.220001,125.489998,125.040001,125.220001,77.756920,1212067
2013-05-06,125.190002,125.400002,125.160004,125.400002,77.868683,807567
2013-05-07,125.430000,125.580002,125.339996,125.370003,77.850037,1218567
2013-05-08,125.430000,125.849998,125.400002,125.820000,78.129471,1282167
2013-05-09,125.639999,125.760002,125.309998,125.400002,77.868683,1259267
2013-05-10,125.250000,125.370003,124.830002,124.919998,77.570625,1848133
2013-05-13,124.949997,125.010002,124.529999,124.559998,77.347046,2031000
2013-05-14,124.589996,124.800003,124.349998,124.559998,77.347046,1605633
2013-05-15,124.410004,124.650002,124.320000,124.410004,77.253914,1239400
2013-05-16,124.410004,125.400002,124.320000,124.470001,77.291168,1521100
2013-05-17,124.650002,124.800003,124.470001,124.680000,77.421585,1212200
2013-05-20,124.800003,124.889999,124.529999,124.830002,77.514702,825800
2013-05-21,124.769997,125.099998,124.769997,124.980003,77.607841,1159467
2013-05-22,124.860001,125.190002,124.260002,124.470001,77.291168,1706167
2013-05-23,124.080002,124.199997,123.720001,124.050003,77.030388,2312967
2013-05-24,123.690002,123.900002,123.629997,123.750000,76.844078,1788033
2013-05-28,124.080002,124.139999,123.389999,123.480003,76.676407,1866000
2013-05-29,123.180000,123.360001,122.669998,123.089996,76.434227,3395333
2013-05-30,122.940002,123.480003,122.760002,123.209999,76.508751,2139267
2013-05-31,123.000000,123.180000,121.620003,121.739998,75.595970,3485500
2013-06-03,120.989998,121.199997,120.089996,121.019997,75.524796,5336800
2013-06-04,120.989998,121.860001,120.599998,120.839996,75.412468,1773367
2013-06-05,120.570000,120.720001,119.550003,119.910004,74.832069,3838633
2013-06-06,119.550003,120.930000,119.519997,120.750000,75.356285,5186967
2013-06-07,121.110001,121.470001,120.540001,120.720001,75.337578,2812300
2013-06-10,120.809998,121.230003,120.629997,120.779999,75.375031,2674067
2013-06-11,119.849998,120.839996,119.639999,120.089996,74.944420,3938433
2013-06-12,120.300003,120.570000,119.580002,119.669998,74.682327,4074867
2013-06-13,119.820000,121.080002,119.760002,120.930000,75.468658,4025067
2013-06-14,120.989998,121.199997,120.480003,120.660004,75.300140,1583867
2013-06-17,121.110001,121.500000,120.839996,120.959999,75.487366,1423400
2013-06-18,120.900002,121.290001,120.809998,121.260002,75.674561,1792300
2013-06-19,121.169998,121.650002,119.459999,119.730003,74.719765,5448567
2013-06-20,118.559998,119.160004,117.989998,118.470001,73.933472,5138300
2013-06-21,118.559998,118.889999,117.300003,117.419998,73.278152,7220500
2013-06-24,116.220001,117.360001,114.629997,116.099998,72.454369,7002433
2013-06-25,116.790001,117.570000,116.699997,117.540001,73.353035,2784567
2013-06-26,117.809998,118.470001,117.750000,118.139999,73.727493,2805900
2013-06-27,118.559998,119.370003,118.529999,118.860001,74.176826,2695533
2013-06-28,118.559998,118.800003,117.750000,118.470001,73.933472,4160200
2013-07-01,118.260002,118.589996,118.050003,118.349998,74.242065,2109000
2013-07-02,118.290001,118.680000,117.839996,118.050003,74.053841,2287600
2013-07-03,118.019997,118.500000,117.750000,118.500000,74.336174,654467
2013-07-05,117.809998,117.930000,116.849998,116.970001,73.376358,2336767
2013-07-08,117.209999,118.500000,117.150002,118.470001,74.317345,2247767
2013-07-09,118.949997,118.949997,118.260002,118.440002,74.298531,2573133
2013-07-10,118.500000,119.129997,118.440002,119.040001,74.674919,3719233
2013-07-11,119.879997,120.419998,119.820000,120.389999,75.521767,3438733
2013-07-12,120.419998,120.480003,119.879997,120.419998,75.540573,4129533
2013-07-15,120.419998,121.019997,120.360001,120.900002,75.841721,1344267
2013-07-16,120.809998,121.110001,120.269997,120.599998,75.653496,1633733
2013-07-17,120.930000,121.470001,120.779999,121.379997,76.142822,2597300
2013-07-18,121.500000,122.309998,121.290001,122.190002,76.650955,4591133
2013-07-19,122.250000,122.250000,121.919998,122.129997,76.613312,924467
2013-07-22,122.160004,122.519997,122.040001,122.400002,76.782654,1838967
2013-07-23,122.519997,122.519997,122.010002,122.040001,76.556831,779833
2013-07-24,122.010002,122.040001,120.930000,121.169998,76.011078,2410567
2013-07-25,120.660004,121.139999,120.660004,120.959999,75.879356,2200600
2013-07-26,120.839996,121.169998,120.660004,121.169998,76.011078,1668067
2013-07-29,120.959999,121.050003,120.510002,120.629997,75.672333,1791300
2013-07-30,120.660004,121.260002,120.419998,120.449997,75.559433,2863733
